F 2499
R 5 0020 ffff
R 2 c085 ffff
R 3 052a ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0a0a ffff
R 9 0000 ffff
R 6 0047 ffff
R 7 0051 ffff
R 4 00b8 ffff
R 5 0020 ffff
R 2 66a9 ffff
R 3 052a ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0a0a ffff
R 9 0000 ffff
R 6 004f ffff
R 7 0051 ffff
R 4 0064 ffff
R 5 0020 ffff
R 2 02ad ffff
R 3 052a ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0303 ffff
R 9 0000 ffff
R 6 0008 ffff
R 7 001c ffff
R 4 01b6 ffff
R 5 00c5 ffff
R 2 f19f ffff
R 3 0550 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0303 ffff
R 9 0000 ffff
R 6 0008 ffff
R 7 001c ffff
R 4 00f5 ffff
R 5 00c5 ffff
R 2 ed3f ffff
R 3 0550 ffff
R 0 0000 ffff
R 1 d002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0707 ffff
R 9 0000 ffff
R 6 0054 ffff
R 7 0024 ffff
R 4 0162 ffff
R 5 00c7 ffff
R 2 99e7 ffff
R 3 0550 ffff
R 0 0000 ffff
R 1 b002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0707 ffff
R 9 0000 ffff
R 6 0054 ffff
R 7 0024 ffff
R 4 0109 ffff
R 5 00c7 ffff
R 2 99e7 ffff
R 3 0550 ffff
R 0 0000 ffff
R 1 b002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0404 ffff
R 9 0000 ffff
R 6 0054 ffff
R 7 0024 ffff
R 4 00a0 ffff
R 5 00c7 ffff
R 2 99e7 ffff
R 3 0550 ffff
R 0 0000 ffff
R 1 b002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0404 ffff
R 9 0000 ffff
R 6 0054 ffff
R 7 0024 ffff
R 4 0047 ffff
R 5 00c7 ffff
R 2 99e7 ffff
R 3 0550 ffff
R 0 0000 ffff
R 1 b002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0303 ffff
R 9 0000 ffff
R 6 0008 ffff
R 7 001c ffff
R 4 01b6 ffff
R 5 00d0 ffff
R 2 f19f ffff
R 3 0550 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0303 ffff
R 9 0000 ffff
R 6 0008 ffff
R 7 001c ffff
R 4 00f5 ffff
R 5 00d0 ffff
R 2 ed3f ffff
R 3 0550 ffff
R 0 0000 ffff
R 1 d002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0303 ffff
R 9 0000 ffff
R 6 00bc ffff
R 7 000b ffff
R 4 0104 ffff
R 5 00eb ffff
R 2 30ff ffff
R 3 0550 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0303 ffff
R 9 0000 ffff
R 6 00bc ffff
R 7 000b ffff
R 4 0041 ffff
R 5 00eb ffff
R 2 30ff ffff
R 3 0550 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0303 ffff
R 9 0000 ffff
R 6 0038 ffff
R 7 000e ffff
R 4 00e5 ffff
R 5 00eb ffff
R 2 c417 ffff
R 3 0550 ffff
R 0 0000 ffff
R 1 e002 ffff
